Названия товара,Цена товара,Предыдущая цена,Скидка в процентах
12 дней.,910,938,2.985
All You Need Is Kill. Грань будущего. Том 1.,1019,1050,2.952
Assassination Class Room #07,1916,1975,2.987
Assassination Class Room #08,1916,1975,2.987
Assassination Class Room #09,1916,1975,2.987
Assassination Class Room #10,1916,1975,2.987
Assassination Class Room #13,1916,1975,2.987
Assassination Class Room #14,1916,1975,2.987
Assassination Class Room #15,1916,1975,2.987
Assassination Class Room #16,1916,1975,2.987
Assassination Class Room #17,1916,1975,2.987
Assassination Class Room #18,1916,1975,2.987
Assassination Class Room #20,2158,2225,3.011
BL story. Выпуск 1.,2474,2550,2.98
Blame! Том 10.,837,863,3.013
Blame! Том 2.,946,975,2.974
Blame! Том 3.,837,863,3.013
Blame! Том 4.,837,863,3.013
Blame! Том 5.,837,863,3.013
Blame! Том 6.,837,863,3.013
Blame! Том 7.,837,863,3.013
Blame! Том 8.,837,863,3.013
Blame! Том 9.,837,863,3.013
Boku Girl #02,2401,2475,2.99
Boku Girl #03,2401,2475,2.99
Boku Girl #04,2401,2475,2.99
Boku Girl #05,2401,2475,2.99
Boku Girl #06,2401,2475,2.99
Boku Girl #08,2401,2475,2.99
Boku Girl #09,2401,2475,2.99
Boku Girl #10,2401,2475,2.99
Chibisan Date. Моменты жизни. Том 3.,703,725,3.034
Chibisan Date. Моменты жизни. Том 4.,703,725,3.034
Comic Bakemonogatari #02,2401,2475,2.99
Comic Bakemonogatari #06,2886,2975,2.992
Dead Man Wonderland #3,2401,2475,2.99
Fate/Apocrypha #05,2401,2475,2.99
Fate/Apocrypha #06,2643,2725,3.009
Fate/Extra CCC Fox Tail #08,2643,2725,3.009
Gakuen Psycho-Pass #02,2401,2475,2.99
